,Residence,Colonnes,Annee,Mois,Nature de l'écriture,Contexte,Code_H,Ligne_Analytique,Groupe,Montant
1326,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.3.,ENERGIE,Charge,77736
1327,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.3.1.,EAU : (RSG-REA-YSER-LFP),Charge,69164
1328,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.3.2.,EDF : (RSG-REA-LFP),Charge,3028
1329,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.3.2.1.,EDF - Parties communes : Réel (50200000),Charge,2573
1330,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.3.2.2.,EDF - Parties Privatives,Charge,198
1331,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.3.2.3.,EDF - Ascenseurs,Charge,257
1332,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.3.3.,Chauffage - Gaz,Charge,5543
1333,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.,CONTRATS DE MAINTENANCE,Charge,5688
1334,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.1.,Contrat de maintenance LFP,Charge,5583
1335,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.1.2.,Maintenance - chauffage,Charge,0
1336,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.1.3.,Maintenance - ascenseurs,Charge,1213
1337,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.1.5.,Maintenance - parkings,Charge,0
1338,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.1.7.,Maintenance - sécurité,Charge,1334
1339,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.1.8.,Maintenance - VMC,Charge,0
1340,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.1.9.,Maintenance - contrats divers,Charge,3035
1341,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.2.,Autres charges de copropriété,Charge,97
1342,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.2.4.,Autres charges - téléphone ascenseurs,Charge,97
1343,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.3.,Contrat maintenance (Hors Syndic),Charge,0
1344,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.4.4.,ASSURANCE : (Immeuble para hotelier multirisque),Charge,8
1345,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.6.,REMISE EN ETAT PARTIES PRIVATIVES,Charge,2917
1346,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.6.1.,Réparations Parties Privatives,Charge,2917
1347,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.7.,REMISE EN ETAT PARTIES COMMUNES,Charge,417
1348,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.7.1.,Réparation Partie Commune (Syndic + Résidence),Charge,417
1349,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.7.1.3.,Réparation Partie Commune,Charge,417
1350,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.8.,LINGE ET BLANCHISSAGE,Charge,211
1351,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.8.1.,Location de linge + nettoyage de linge,Charge,211
1352,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.9.,FOURNITURES D'EXPLOITATION,Charge,339
1353,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.9.1.,Produits et matériel d'entretien,Charge,0
1354,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.9.5.,Achat petit équip. et fourn. / charges diverses d'exploit,Charge,339
1355,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,2.9.5.4.,Achat - charges diverses d'exploitation,Charge,339
1356,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,3.,MARGE 1,Marge,106921
1357,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.,Total 1,Charge,18134
1358,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.1.,AMORTISSEMENT et CREDIT BAIL,Charge,2747
1359,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.1.3.,Amortissement Mobilier Travaux,Charge,1961
1360,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.1.3.3.,Mobilier - Amortissement,Charge,1961
1361,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.1.4.,Agencement - Amortissement 80200003,Charge,785
1362,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.2.,LOYERS REVERSES PROPRIETAIRES,Charge,0
1363,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.2.1.,Loyers reversés aux propriétaires,Charge,0
1364,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.4.,INCIDENCE T.V.A,Charge,13628
1365,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.4.1.,Incidence TVA (cc + prorata de gestion),Charge,11879
1366,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.4.2.,Incidence TVA liée MDG et GARDIEN,Charge,1749
1367,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,5.5.,CET (ex Taxe Pro),Charge,1759
1368,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,6.,MARGE 2,Marge,88787
1369,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,8.,Total 2,Charge,20674
1370,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,8.1.,PRESTATIONS INTERNES (Y/C Honoraires syndic),Charge,14039
1371,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,8.2.,FRAIS DES SOCIETES,Charge,300
1372,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,8.2.7.,Incidence congés payés,Charge,300
1373,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,8.3.,HONORAIRES SYNDIC,Charge,6336
1374,11000099 - Noisy,Budget 2026,2026.0,1.0,Mensuelle,B,9.,MARGE 3,Marge,68112
1375,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.,RECETTES,Chiffre d'affaire,176626
1376,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.1.,Loyers logements et parkings HT,Chiffre d'affaire,174233
1377,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.1.1.,CA Locatif Estudines,Chiffre d'affaire,173633
1378,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.1.4.,CA Locatif Parkings,Chiffre d'affaire,600
1379,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.2.,RECETTES ANNEXES,Chiffre d'affaire,2500
1380,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.2.12.,Charges de copro récupérables,Chiffre d'affaire,0
1381,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.2.2.,CA Frais locatif,Chiffre d'affaire,700
1382,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.2.5.,CA Laverie-Ménage,Chiffre d'affaire,1400
1383,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.2.5.2.,Laverie,Chiffre d'affaire,1400
1384,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.2.5.4.,Ménage supplémentaire,Chiffre d'affaire,0
1385,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.2.8.,CA Divers,Chiffre d'affaire,400
1386,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.3.,Commission Agence TO,Chiffre d'affaire,-107
1387,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.4.,IMPAYES,Chiffre d'affaire,0
1388,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,1.4.1.,Impayés locataires,Chiffre d'affaire,0
1389,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,10,% DES RECETTES TOTALES,Chiffre d'affaire,223
1390,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,11.,Dotations aux amortissements (CAPEX),Chiffre d'affaire,2532
1391,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,12.,EBITDA,Marge,118913
1392,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,14.,FREE CASH FLOW,Marge,118913
1393,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.,CHARGES D'IMMEUBLE DIRECTES,Charge,28242
1394,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.,FRAIS DE PERSONNEL,Charge,9809
1395,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.1.,Salaires,Charge,6677
1396,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.10.,Prestataires sécurité gardiennage,Charge,98
1397,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.10.1.,Prestataire sécurité gardiennage,Charge,98
1398,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.11.,Nettoyage Parties Communes,Charge,0
1399,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.12.,Nettoyage Parties Privatives,Charge,588
1400,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.14.,Animation,Charge,0
1401,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.2.,Charges sur salaires,Charge,1985
1402,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.3.,Prime,Charge,217
1403,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.6.,Personnel intérimaire,Charge,0
1404,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.1.9.1.,Autres frais de personnel,Charge,486
1405,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.12.,"LOCATIONS, HONORAIRES, SACEM ET TV",Charge,897
1406,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.12.3.,Honoraire contentieux Gestion,Charge,897
1407,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.12.3.1.,Honoraire - juridiques et contentieux,Charge,897
1408,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.13.,DEPLACEMENT ET MISSION,Charge,64
1409,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.14.,PUBLICITE,Charge,674
1410,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.14.7.,Publicité Estudines,Charge,674
1411,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.15.,Publicité Internet,Charge,339
1412,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.16.,FOURNITURES ADMINISTRATIVES,Charge,45
1413,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.16.1.,"Fournitures (bureau, contrat, reprographie…)",Charge,45
1414,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.16.1.1.,Fournitures administratives,Charge,0
1415,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.16.1.3.,Reprographie,Charge,45
1416,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.16.2.,Frais postaux,Charge,0
1417,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.17.,TELEPHONIE - INTERNET - INFORMATIQUE,Charge,128
1418,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.17.1.,Téléphone (C° et Abonnement),Charge,128
1419,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.17.3.,Informatique,Charge,0
1420,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.17.3.2.,Informatique - Logiciels / licences,Charge,0
1421,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.2.,IMPOTS et TAXES DIVERSES,Charge,426
1422,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.2.2.,Taxe d'ordures ménagères,Charge,426
1423,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.3.,ENERGIE,Charge,7742
1424,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.3.1.,EAU : (RSG-REA-YSER-LFP),Charge,0
1425,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.3.2.,EDF : (RSG-REA-LFP),Charge,2735
1426,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.3.2.1.,EDF - Parties communes : Réel (50200000),Charge,2324
1427,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.3.2.2.,EDF - Parties Privatives,Charge,179
1428,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.3.2.3.,EDF - Ascenseurs,Charge,232
1429,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.3.3.,Chauffage - Gaz,Charge,5007
1430,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.,CONTRATS DE MAINTENANCE,Charge,4012
1431,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.1.,Contrat de maintenance LFP,Charge,1530
1432,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.1.13.,Maintenance - toiture,Charge,1530
1433,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.1.2.,Maintenance - chauffage,Charge,0
1434,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.1.5.,Maintenance - parkings,Charge,0
1435,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.1.8.,Maintenance - VMC,Charge,0
1436,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.2.,Autres charges de copropriété,Charge,2482
1437,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.2.1.,Autres charges - 51000000,Charge,2384
1438,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.4.2.4.,Autres charges - téléphone ascenseurs,Charge,97
1439,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.6.,REMISE EN ETAT PARTIES PRIVATIVES,Charge,2917
1440,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.6.1.,Réparations Parties Privatives,Charge,2917
1441,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.7.,REMISE EN ETAT PARTIES COMMUNES,Charge,417
1442,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.7.1.,Réparation Partie Commune (Syndic + Résidence),Charge,417
1443,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.7.1.3.,Réparation Partie Commune,Charge,417
1444,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.8.,LINGE ET BLANCHISSAGE,Charge,190
1445,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.8.1.,Location de linge + nettoyage de linge,Charge,190
1446,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.9.,FOURNITURES D'EXPLOITATION,Charge,582
1447,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.9.1.,Produits et matériel d'entretien,Charge,0
1448,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.9.5.,Achat petit équip. et fourn. / charges diverses d'exploit,Charge,582
1449,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,2.9.5.4.,Achat - charges diverses d'exploitation,Charge,582
1450,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,3.,MARGE 1,Marge,148385
1451,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.,Total 1,Charge,18610
1452,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.1.,AMORTISSEMENT et CREDIT BAIL,Charge,2532
1453,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.1.3.,Amortissement Mobilier Travaux,Charge,1823
1454,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.1.3.3.,Mobilier - Amortissement,Charge,1823
1455,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.1.4.,Agencement - Amortissement 80200003,Charge,709
1456,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.2.,LOYERS REVERSES PROPRIETAIRES,Charge,0
1457,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.2.1.,Loyers reversés aux propriétaires,Charge,0
1458,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.4.,INCIDENCE T.V.A,Charge,13628
1459,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.4.1.,Incidence TVA (cc + prorata de gestion),Charge,11879
1460,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.4.2.,Incidence TVA liée MDG et GARDIEN,Charge,1749
1461,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,5.5.,CET (ex Taxe Pro),Charge,2449
1462,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,6.,MARGE 2,Marge,129775
1463,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,8.,Total 2,Charge,13394
1464,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,8.1.,PRESTATIONS INTERNES (Y/C Honoraires syndic),Charge,14039
1465,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,8.2.,FRAIS DES SOCIETES,Charge,-645
1466,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,8.2.7.,Incidence congés payés,Charge,-645
1467,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,8.3.,HONORAIRES SYNDIC,Charge,0
1468,11000099 - Noisy,Budget 2026,2026.0,2.0,Mensuelle,B,9.,MARGE 3,Marge,116381
1469,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.,RECETTES,Chiffre d'affaire,173274
1470,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.1.,Loyers logements et parkings HT,Chiffre d'affaire,170690
1471,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.1.1.,CA Locatif Estudines,Chiffre d'affaire,170090
1472,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.1.4.,CA Locatif Parkings,Chiffre d'affaire,600
1473,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.2.,RECETTES ANNEXES,Chiffre d'affaire,2700
1474,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.2.12.,Charges de copro récupérables,Chiffre d'affaire,0
1475,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.2.2.,CA Frais locatif,Chiffre d'affaire,1000
1476,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.2.5.,CA Laverie-Ménage,Chiffre d'affaire,1500
1477,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.2.5.2.,Laverie,Chiffre d'affaire,1500
1478,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.2.5.4.,Ménage supplémentaire,Chiffre d'affaire,0
1479,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.2.8.,CA Divers,Chiffre d'affaire,200
1480,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.3.,Commission Agence TO,Chiffre d'affaire,-116
1481,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.4.,IMPAYES,Chiffre d'affaire,0
1482,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,1.4.1.,Impayés locataires,Chiffre d'affaire,0
1483,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,10,% DES RECETTES TOTALES,Chiffre d'affaire,-76
1484,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,11.,Dotations aux amortissements (CAPEX),Chiffre d'affaire,2747
1485,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,12.,EBITDA,Marge,-131624
1486,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,14.,FREE CASH FLOW,Marge,-131624
1487,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.,CHARGES D'IMMEUBLE DIRECTES,Charge,50173
1488,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.,FRAIS DE PERSONNEL,Charge,17760
1489,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.1.,Salaires,Charge,6677
1490,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.11.,Nettoyage Parties Communes,Charge,0
1491,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.12.,Nettoyage Parties Privatives,Charge,638
1492,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.14.,Animation,Charge,0
1493,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.2.,Charges sur salaires,Charge,4307
1494,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.3.,Prime,Charge,5898
1495,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.6.,Personnel intérimaire,Charge,0
1496,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.1.9.1.,Autres frais de personnel,Charge,480
1497,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.12.,"LOCATIONS, HONORAIRES, SACEM ET TV",Charge,657
1498,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.12.3.,Honoraire contentieux Gestion,Charge,657
1499,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.12.3.1.,Honoraire - juridiques et contentieux,Charge,657
1500,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.14.,PUBLICITE,Charge,674
1501,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.14.7.,Publicité Estudines,Charge,674
1502,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.15.,Publicité Internet,Charge,339
1503,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.16.,FOURNITURES ADMINISTRATIVES,Charge,66
1504,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.16.1.,"Fournitures (bureau, contrat, reprographie…)",Charge,66
1505,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.16.1.1.,Fournitures administratives,Charge,66
1506,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.16.1.3.,Reprographie,Charge,0
1507,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.16.2.,Frais postaux,Charge,0
1508,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.17.,TELEPHONIE - INTERNET - INFORMATIQUE,Charge,6097
1509,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.17.1.,Téléphone (C° et Abonnement),Charge,255
1510,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.17.2.,Internet (location de ligne),Charge,5841
1511,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.17.3.,Informatique,Charge,0
1512,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.17.3.2.,Informatique - Logiciels / licences,Charge,0
1513,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.3.,ENERGIE,Charge,8397
1514,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.3.1.,EAU : (RSG-REA-YSER-LFP),Charge,0
1515,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.3.2.,EDF : (RSG-REA-LFP),Charge,2966
1516,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.3.2.1.,EDF - Parties communes : Réel (50200000),Charge,2521
1517,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.3.2.2.,EDF - Parties Privatives,Charge,194
1518,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.3.2.3.,EDF - Ascenseurs,Charge,252
1519,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.3.3.,Chauffage - Gaz,Charge,5430
1520,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.,CONTRATS DE MAINTENANCE,Charge,12111
1521,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.1.,Contrat de maintenance LFP,Charge,12014
1522,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.1.2.,Maintenance - chauffage,Charge,0
1523,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.1.5.,Maintenance - parkings,Charge,0
1524,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.1.6.,Maintenance - espaces verts,Charge,1131
1525,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.1.7.,Maintenance - sécurité,Charge,6168
1526,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.1.8.,Maintenance - VMC,Charge,500
1527,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.1.9.,Maintenance - contrats divers,Charge,4215
1528,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.2.,Autres charges de copropriété,Charge,97
1529,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.4.2.4.,Autres charges - téléphone ascenseurs,Charge,97
1530,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.6.,REMISE EN ETAT PARTIES PRIVATIVES,Charge,2917
1531,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.6.1.,Réparations Parties Privatives,Charge,2917
1532,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.7.,REMISE EN ETAT PARTIES COMMUNES,Charge,417
1533,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.7.1.,Réparation Partie Commune (Syndic + Résidence),Charge,417
1534,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.7.1.3.,Réparation Partie Commune,Charge,417
1535,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.8.,LINGE ET BLANCHISSAGE,Charge,206
1536,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.8.1.,Location de linge + nettoyage de linge,Charge,206
1537,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.9.,FOURNITURES D'EXPLOITATION,Charge,534
1538,11000099 - Noisy,Budget 2026,2026.0,3.0,Mensuelle,B,2.9.1.,Produits et matériel d'entretien,Charge,0
